,macid,tt,hr,br,temp,local
10343,54:6c:0e:d0:34:28,2021-11-20 15:24:23,0,0,2736,c003
10344,54:6c:0e:d0:34:28,2021-11-20 15:24:24,0,0,2736,c003
10345,54:6c:0e:d0:34:28,2021-11-20 15:24:25,0,0,2736,c003
10346,54:6c:0e:d0:34:28,2021-11-20 15:24:26,0,0,2736,c003
10347,54:6c:0e:d0:34:28,2021-11-20 15:24:27,0,0,2736,c003
10348,54:6c:0e:d0:34:28,2021-11-20 15:24:28,0,0,2736,c003
10349,54:6c:0e:d0:34:28,2021-11-20 15:24:29,0,0,2736,c003
10350,54:6c:0e:d0:34:28,2021-11-20 15:24:30,0,0,2736,c003
10351,54:6c:0e:d0:34:28,2021-11-20 15:24:31,0,0,2736,c003
10352,54:6c:0e:d0:34:28,2021-11-20 15:24:32,0,0,2736,c003
10353,54:6c:0e:d0:34:28,2021-11-20 15:24:33,0,0,2736,c003
10354,54:6c:0e:d0:34:28,2021-11-20 15:24:34,0,0,2735,c003
10355,54:6c:0e:d0:34:28,2021-11-20 15:24:35,0,0,2736,c003
10356,54:6c:0e:d0:34:28,2021-11-20 15:24:36,0,0,2736,c003
10357,54:6c:0e:d0:34:28,2021-11-20 15:24:37,0,0,2735,c003
10358,54:6c:0e:d0:34:28,2021-11-20 15:24:38,0,0,2735,c003
10359,54:6c:0e:d0:34:28,2021-11-20 15:24:39,0,0,2735,c003
10360,54:6c:0e:d0:34:28,2021-11-20 15:24:40,0,0,2735,c003
10361,54:6c:0e:d0:34:28,2021-11-20 15:24:41,0,0,2735,c003
10362,54:6c:0e:d0:34:28,2021-11-20 15:24:42,0,0,2735,c003
10363,54:6c:0e:d0:34:28,2021-11-20 15:24:43,0,0,2735,c003
10364,54:6c:0e:d0:34:28,2021-11-20 15:24:44,0,0,2735,c003
10365,54:6c:0e:d0:34:28,2021-11-20 15:24:45,0,0,2735,c003
10366,54:6c:0e:d0:34:28,2021-11-20 15:24:46,0,0,2735,c003
10367,54:6c:0e:d0:34:28,2021-11-20 15:24:47,0,0,2735,c003
10368,54:6c:0e:d0:34:28,2021-11-20 15:24:48,0,0,2735,c003
10369,54:6c:0e:d0:34:28,2021-11-20 15:24:49,0,0,2735,c003
10370,54:6c:0e:d0:34:28,2021-11-20 15:24:50,0,0,2735,c003
10371,54:6c:0e:d0:34:28,2021-11-20 15:24:51,0,0,2734,c003
10372,54:6c:0e:d0:34:28,2021-11-20 15:24:52,0,0,2734,c003
10373,54:6c:0e:d0:34:28,2021-11-20 15:24:53,0,0,2734,c003
10374,54:6c:0e:d0:34:28,2021-11-20 15:24:54,0,0,2734,c003
10375,54:6c:0e:d0:34:28,2021-11-20 15:24:55,0,0,2734,c003
10376,54:6c:0e:d0:34:28,2021-11-20 15:24:56,0,0,2734,c003
10377,54:6c:0e:d0:34:28,2021-11-20 15:24:57,0,0,2734,c003
10378,54:6c:0e:d0:34:28,2021-11-20 15:24:58,0,0,2734,c003
10379,54:6c:0e:d0:34:28,2021-11-20 15:24:59,0,0,2734,c003
10380,54:6c:0e:d0:34:28,2021-11-20 15:25:00,0,0,2734,c003
10381,54:6c:0e:d0:34:28,2021-11-20 15:25:01,0,0,2733,c003
10382,54:6c:0e:d0:34:28,2021-11-20 15:25:02,0,0,2734,c003
10383,54:6c:0e:d0:34:28,2021-11-20 15:25:03,0,0,2734,c003
10384,54:6c:0e:d0:34:28,2021-11-20 15:25:04,0,0,2734,c003
10385,54:6c:0e:d0:34:28,2021-11-20 15:25:05,0,0,2734,c003
10386,54:6c:0e:d0:34:28,2021-11-20 15:25:06,0,0,2734,c003
10387,54:6c:0e:d0:34:28,2021-11-20 15:25:07,0,0,2733,c003
10388,54:6c:0e:d0:34:28,2021-11-20 15:25:08,0,0,2734,c003
10389,54:6c:0e:d0:34:28,2021-11-20 15:25:09,0,0,2733,c003
10390,54:6c:0e:d0:34:28,2021-11-20 15:25:10,0,0,2733,c003
10391,54:6c:0e:d0:34:28,2021-11-20 15:25:11,0,0,2734,c003
10392,54:6c:0e:d0:34:28,2021-11-20 15:25:12,0,0,2733,c003
10393,54:6c:0e:d0:34:28,2021-11-20 15:25:13,0,0,2733,c003
10394,54:6c:0e:d0:34:28,2021-11-20 15:25:14,0,0,2733,c003
10395,54:6c:0e:d0:34:28,2021-11-20 15:25:15,0,0,2733,c003
10396,54:6c:0e:d0:34:28,2021-11-20 15:25:16,0,0,2733,c003
10397,54:6c:0e:d0:34:28,2021-11-20 15:25:17,0,0,2733,c003
10398,54:6c:0e:d0:34:28,2021-11-20 15:25:18,0,0,2733,c003
10399,54:6c:0e:d0:34:28,2021-11-20 15:25:19,0,0,2733,c003
10400,54:6c:0e:d0:34:28,2021-11-20 15:25:20,0,0,2734,c003
10401,54:6c:0e:d0:34:28,2021-11-20 15:25:21,0,0,2733,c003
